PPIN,ISR,OOS,INACTIVE
94452,2,.,.
94474,2,.,.
94554,1,.,.
94587,1,.,.
94601,3,8,.
94656,1,.,.
94725,2,.,.
94736,1,.,.
94827,1,.,.
94893,1,.,.
94962,1,.,.
94973,1,.,.
95059,1,.,.
95092,1,.,.
95106,1,.,.
95117,1,.,.
95139,1,.,.
95194,1,.,.
95208,2,.,.
95241,1,.,.
95285,1,.,.
95332,1,.,.
95387,1,.,.
95398,1,.,.
95467,1,.,.
95489,1,.,.
95503,1,.,.
95547,1,.,.
95605,3,3,1
95616,1,.,.
95671,1,.,.
95693,1,.,.
95707,1,.,.
95729,2,.,.
95751,1,.,.
95795,3,2,.
95853,1,.,.
95897,1,.,.
95911,2,.,.
95922,1,.,.
95944,1,.,.
95977,1,.,.
95988,1,.,.
95999,1,.,.
96008,1,.,.
96052,1,.,.
96096,2,.,.
96143,1,.,.
96245,1,.,.
96278,1,.,.
96303,1,.,.
96347,1,.,.
96358,1,.,.
96405,1,.,.
96416,1,.,.
96449,3,2,1
96482,1,.,.
96518,1,.,.
96562,1,.,.
96711,1,.,.
96733,1,.,.
96755,1,.,.
207967,1,.,.
207978,1,.,.
207989,1,.,.
208009,1,.,.
208031,1,.,.
208042,1,.,.
208053,1,.,.
208075,1,.,.
208097,2,.,.
208122,1,.,.
208133,1,.,.
208155,1,.,.
208166,1,.,.
208177,1,.,.
208213,2,.,.
208224,1,.,.
208246,1,.,.
208304,1,.,.
208337,1,.,.
208348,1,.,.
208417,1,.,.
208428,3,2,.
208439,1,.,.
208461,3,2,.
208483,1,.,.
208494,1,.,.
208508,3,2,.
208541,1,.,.
208552,1,.,.
208574,2,.,.
208585,1,.,.
208596,1,.,.
208687,1,.,.
208745,1,.,.
208891,1,.,.
208982,1,.,.
209024,1,.,.
209046,1,.,.
209068,1,.,.
209079,2,.,.
209159,1,.,.
209181,1,.,.
209192,1,.,.
209206,1,.,.
209217,1,.,.
209228,1,.,.
209239,1,.,.
209294,1,.,.
209341,1,.,.
209352,1,.,.
209363,3,2,.
209396,1,.,.
209421,1,.,.
209465,1,.,.
209487,1,.,.
209523,1,.,.
209534,1,.,.
209545,1,.,.
209556,2,.,.
209614,1,.,.
209636,3,2,1
209691,3,2,1
209873,1,.,.
209931,1,.,.
210029,1,.,.
210131,1,.,.
210222,1,.,.
210255,1,.,.
210368,1,.,.
210379,1,.,.
210415,1,.,.
210437,1,.,.
210506,1,.,.
210641,2,.,.
210674,1,.,.
210685,3,2,.
210696,3,2,.
230045,1,.,.
230067,1,.,.
230078,1,.,.
230089,1,.,.
230103,1,.,.
230114,1,.,.
230147,3,3,.
230169,3,2,.
230249,2,.,.
230271,3,2,1
230282,1,.,.
230293,1,.,.
230307,1,.,.
230318,3,2,1
230329,1,.,.
230362,1,.,.
230373,1,.,.
230384,3,2,.
230442,1,.,.
230475,1,.,.
230486,1,.,.
230511,1,.,.
230522,2,.,.
230533,3,2,1
230555,1,.,.
230599,3,2,.
230679,3,2,.
230704,3,2,.
230828,3,2,.
230861,2,.,.
230872,1,.,.
230883,1,.,.
230963,1,.,.
230996,1,.,.
231005,3,2,1
231082,1,.,.
231107,3,2,.
231129,1,.,.
231209,2,.,.
231231,3,2,.
231264,3,2,.
231286,1,.,.
231333,1,.,.
231344,1,.,.
231468,2,.,.
231479,2,.,.
231526,1,.,.
231559,2,.,.
231581,1,.,.
231628,1,.,.
231639,1,.,.
231661,1,.,.
231672,3,2,1
231683,1,.,.
231752,1,.,.
231763,1,.,.
231774,1,.,.
231832,1,.,.
231865,1,.,.
231876,1,.,.
231887,1,.,.
231901,1,.,.
231923,3,2,.
232042,3,3,.
232064,1,.,.
232086,3,2,.
232097,1,.,.
232122,1,.,.
232144,1,.,.
232177,1,.,.
232188,1,.,.
232202,1,.,.
232246,1,.,.
232268,1,.,.
232315,3,2,.
232326,1,.,.
232392,1,.,.
232406,1,.,.
232417,1,.,.
232428,3,10,.
232439,1,.,.
232461,1,.,.
232472,3,5,1
232494,1,.,.
232519,1,.,.
232541,1,.,.
232552,1,.,.
232563,1,.,.
232621,1,.,.
232643,3,2,.
232676,1,.,.
232687,3,2,1
232712,2,.,.
232723,1,.,.
232734,1,.,.
232745,2,.,.
232858,1,.,.
232905,1,.,.
232949,1,.,.
232971,2,.,.
232982,2,.,.
233002,3,3,1
233046,1,.,.
233057,2,.,.
233079,2,.,.
233104,1,.,.
233115,1,.,.
233126,3,2,1
233148,1,.,.
233181,1,.,.
233192,2,.,.
233206,1,.,.
233228,1,.,.
233261,1,.,.
233272,1,.,.
233283,3,2,.
233308,1,.,.
233319,1,.,.
233341,1,.,.
233363,1,.,.
233374,3,5,.
233396,1,.,.
233421,1,.,.
233465,1,.,.
233476,1,.,.
233523,1,.,.
233534,1,.,.
233567,1,.,.
233691,1,.,.
233705,1,.,.
233716,1,.,.
233738,1,.,.
233851,1,.,.
233884,1,.,.
233895,3,3,1
233942,3,2,.
233953,1,.,.
233964,1,.,.
233975,1,.,.
234072,1,.,.
234163,1,.,.
249362,1,.,.
249431,1,.,.
249464,3,2,.
249475,1,.,.
249486,1,.,.
249497,3,2,.
249511,1,.,.
249522,1,.,.
249544,1,.,.
249566,1,.,.
249577,1,.,.
249588,1,.,.
249613,1,.,.
249646,1,.,.
249715,2,.,.
249737,1,.,.
249748,1,.,.
249781,1,.,.
249792,1,.,.
249817,1,.,.
249828,1,.,.
249839,2,.,.
249861,2,.,.
249883,1,.,.
249908,1,.,.
249919,1,.,.
249963,1,.,.
249996,1,.,.
250061,1,.,.
250108,1,.,.
250152,1,.,.
250174,1,.,.
250254,2,.,.
252626,1,.,.
252659,1,.,.
252681,1,.,.
252717,1,.,.
252739,1,.,.
252772,1,.,.
252819,1,.,.
252921,1,.,.
253029,1,.,.
253062,1,.,.
253095,3,3,1
253109,3,2,.
253186,2,.,.
253244,1,.,.
253324,1,.,.
253415,1,.,.
253426,1,.,.
253437,1,.,.
253448,1,.,.
253517,1,.,.
253674,3,2,.
253732,1,.,.
253834,3,12,1
253914,3,2,.
256857,1,.,.
256868,1,.,.
256904,1,.,.
256948,1,.,.
256959,2,.,.
256981,1,.,.
257001,1,.,.
257012,1,.,.
257023,1,.,.
257045,1,.,.
257056,1,.,.
257067,1,.,.
257078,1,.,.
257103,1,.,.
257125,1,.,.
257136,1,.,.
257147,1,.,.
257158,1,.,.
257169,1,.,.
257205,1,.,.
257216,1,.,.
257293,1,.,.
257318,1,.,.
257351,3,2,.
257384,1,.,.
257409,1,.,.
257442,1,.,.
257453,1,.,.
257464,1,.,.
257475,1,.,.
257486,1,.,.
257497,1,.,.
257511,1,.,.
257533,1,.,.
257544,1,.,.
257555,2,.,.
257577,1,.,.
257588,1,.,.
257599,1,.,.
257613,1,.,.
257624,1,.,.
257635,1,.,.
257657,1,.,.
257679,1,.,.
257726,1,.,.
257737,1,.,.
257806,1,.,.
257828,1,.,.
257861,1,.,.
257872,1,.,.
257883,2,.,.
257894,1,.,.
257908,1,.,.
257919,1,.,.
257941,1,.,.
257952,1,.,.
257963,1,.,.
257974,1,.,.
257996,1,.,.
258005,1,.,.
258016,1,.,.
258027,1,.,.
258038,1,.,.
258049,1,.,.
258082,1,.,.
258093,1,.,.
258107,1,.,.
258118,3,2,.
258129,1,.,.
258173,1,.,.
258184,1,.,.
258209,1,.,.
258231,1,.,.
258253,1,.,.
258264,1,.,.
258286,1,.,.
258297,1,.,.
258311,1,.,.
258322,1,.,.
258355,1,.,.
258388,1,.,.
258399,1,.,.
258413,1,.,.
258424,1,.,.
258435,1,.,.
258446,1,.,.
258457,2,.,.
258468,1,.,.
258479,1,.,.
258504,1,.,.
258515,1,.,.
258526,1,.,.
258537,1,.,.
258559,1,.,.
258592,1,.,.
258606,1,.,.
258617,2,.,.
258628,1,.,.
258661,1,.,.
258672,1,.,.
258683,1,.,.
258694,1,.,.
258708,1,.,.
258719,1,.,.
258741,1,.,.
258796,1,.,.
258821,1,.,.
258832,1,.,.
258843,1,.,.
258854,1,.,.
258865,1,.,.
258901,1,.,.
258912,1,.,.
258923,1,.,.
258945,1,.,.
258956,1,.,.
258967,1,.,.
258978,1,.,.
258989,1,.,.
259009,1,.,.
259031,2,.,.
259042,1,.,.
259053,1,.,.
259064,1,.,.
259075,1,.,.
259381,1,.,.
259392,1,.,.
259406,1,.,.
259417,1,.,.
259428,1,.,.
259461,2,.,.
259472,2,.,.
259494,1,.,.
259508,1,.,.
259541,3,3,.
259552,1,.,.
259563,1,.,.
259574,1,.,.
259585,1,.,.
259632,1,.,.
259643,1,.,.
259654,2,.,.
259665,1,.,.
259676,1,.,.
259701,2,.,.
259712,1,.,.
259734,1,.,.
259756,1,.,.
259814,3,2,.
259825,1,.,.
259905,1,.,.
259949,1,.,.
259982,1,.,.
260036,1,.,.
260058,2,.,.
260091,1,.,.
260116,1,.,.
260149,1,.,.
260193,1,.,.
260218,1,.,.
260251,1,.,.
260273,1,.,.
260284,1,.,.
260295,1,.,.
260353,1,.,.
260375,1,.,.
260386,1,.,.
260422,1,.,.
260466,1,.,.
260502,1,.,.
260524,1,.,.
260535,1,.,.
260546,1,.,.
260557,1,.,.
260604,1,.,.
260648,1,.,.
260659,1,.,.
260681,1,.,.
260728,2,.,.
260819,1,.,.
260852,1,.,.
260932,2,.,.
260943,1,.,.
260954,1,.,.
260965,1,.,.
260976,1,.,.
260998,1,.,.
261018,3,6,.
261084,1,.,.
261131,2,.,.
261142,1,.,.
261244,1,.,.
261266,3,12,1
261299,2,.,.
261302,1,.,.
261313,1,.,.
261346,1,.,.
261357,1,.,.
261368,1,.,.
261404,3,5,1
261448,1,.,.
261528,2,.,.
261539,1,.,.
261652,1,.,.
261765,1,.,.
261845,1,.,.
261878,3,2,.
261903,1,.,.
261914,2,.,.
261936,1,.,.
261958,1,.,.
261991,3,2,1
262044,1,.,.
262113,1,.,.
262124,1,.,.
262226,1,.,.
